time [µs]	Amp[V]	HF [V]	TGC [dB]
0,0	0,308	0,004	0,157
0,1	0,558	0,019	0,315
0,2	0,873	0,980	-0,157
0,3	1,180	-0,674	-0,157
0,4	1,398	-1,012	0,787
0,5	1,477	-1,012	0,472
0,6	1,432	0,996	0,315
0,7	1,329	0,996	0,000
0,8	1,246	0,996	-0,157
0,9	1,232	0,996	0,157
1,0	1,286	-1,012	0,472
1,1	1,367	0,846	0,157
1,2	1,429	0,925	0,000
1,3	1,443	-1,012	0,000
1,4	1,401	-1,012	0,157
1,5	1,312	-1,012	0,315
1,6	1,191	0,822	0,157
1,7	1,070	0,996	0,000
1,8	0,990	0,366	0,157
1,9	0,986	-0,327	0,157
2,0	1,063	-1,012	0,157
2,1	1,177	-1,012	0,157
2,2	1,243	0,444	0,157
2,3	1,189	0,996	0,000
2,4	0,992	0,626	0,157
2,5	0,705	-0,524	0,157
2,6	0,424	-0,367	0,157
2,7	0,234	-0,107	0,157
2,8	0,162	-0,099	0,157
2,9	0,172	0,011	0,000
3,0	0,197	0,169	0,157
3,1	0,188	0,169	0,000
3,2	0,136	0,059	0,000
3,3	0,074	-0,012	0,157
3,4	0,038	-0,004	0,157
3,5	0,041	0,035	0,157
3,6	0,068	0,059	0,157
3,7	0,090	0,043	0,157
3,8	0,089	0,011	0,157
3,9	0,069	-0,044	0,157
4,0	0,048	-0,052	0,157
4,1	0,041	0,004	0,157
4,2	0,049	0,043	0,157
4,3	0,058	0,019	0,157
4,4	0,058	-0,036	0,000
4,5	0,047	-0,036	0,157
4,6	0,034	-0,020	0,157
4,7	0,030	-0,020	0,157
4,8	0,037	0,011	0,157
4,9	0,047	0,043	0,157
5,0	0,050	0,019	0,157
5,1	0,043	-0,020	0,157
5,2	0,030	-0,020	0,157
5,3	0,020	-0,012	0,157
5,4	0,018	0,004	0,157
5,5	0,023	0,004	0,000
5,6	0,026	0,011	0,000
5,7	0,026	-0,004	0,157
5,8	0,023	-0,012	0,157
5,9	0,024	0,011	0,157
6,0	0,029	0,027	0,157
6,1	0,037	0,019	0,000
6,2	0,041	-0,004	0,945
6,3	0,040	-0,028	3,465
6,4	0,037	-0,036	5,669
6,5	0,036	-0,012	7,087
6,6	0,042	0,027	7,874
6,7	0,051	0,051	8,346
6,8	0,057	0,027	8,661
6,9	0,053	-0,012	8,976
7,0	0,042	-0,036	8,976
7,1	0,031	-0,028	8,976
7,2	0,028	-0,004	9,134
7,3	0,033	0,027	9,134
7,4	0,041	0,035	9,134
7,5	0,045	0,004	9,291
7,6	0,040	-0,028	9,291
7,7	0,031	-0,028	9,134
7,8	0,022	0,004	9,291
7,9	0,019	0,011	9,291
8,0	0,020	0,004	9,134
8,1	0,022	-0,012	9,291
8,2	0,022	-0,020	9,134
8,3	0,020	-0,012	9,134
8,4	0,017	0,011	9,291
8,5	0,015	0,004	9,134
8,6	0,014	0,004	9,134
8,7	0,012	0,004	9,291
8,8	0,011	0,004	9,291
8,9	0,013	-0,004	9,291
9,0	0,018	0,004	9,291
9,1	0,025	0,004	9,291
9,2	0,031	-0,020	9,291
9,3	0,033	-0,036	9,291
9,4	0,031	-0,012	9,291
9,5	0,028	0,011	9,291
9,6	0,027	0,027	9,291
9,7	0,029	0,019	9,134
9,8	0,031	-0,004	9,134
9,9	0,030	-0,020	9,291
10,0	0,026	-0,020	9,291
10,1	0,022	-0,020	9,291
10,2	0,021	-0,012	9,291
10,3	0,027	0,011	9,291
10,4	0,036	0,035	9,291
10,5	0,044	0,027	9,291
10,6	0,048	-0,004	9,291
10,7	0,046	-0,036	9,291
10,8	0,042	-0,044	9,291
10,9	0,039	-0,020	9,291
11,0	0,037	0,011	9,291
11,1	0,036	0,035	9,291
11,2	0,035	0,027	9,291
11,3	0,032	0,004	9,291
11,4	0,029	-0,012	9,291
11,5	0,028	-0,020	9,291
11,6	0,027	-0,028	9,291
11,7	0,025	-0,012	9,449
11,8	0,020	0,011	9,449
11,9	0,014	0,011	9,291
12,0	0,009	-0,004	9,291
12,1	0,008	0,004	9,291
12,2	0,011	0,004	9,291
12,3	0,014	-0,004	9,291
12,4	0,015	-0,012	9,291
12,5	0,012	-0,012	9,291
12,6	0,010	-0,004	9,449
12,7	0,012	0,004	9,291
12,8	0,018	0,019	9,449
12,9	0,025	0,011	9,449
13,0	0,029	-0,004	9,449
13,1	0,028	-0,028	9,449
13,2	0,024	-0,020	9,449
13,3	0,023	-0,012	9,449
13,4	0,025	0,011	9,449
13,5	0,029	0,027	9,291
13,6	0,030	0,004	9,291
13,7	0,026	-0,020	9,291
13,8	0,018	-0,020	9,449
13,9	0,012	-0,004	9,449
14,0	0,009	0,004	9,449
14,1	0,011	-0,012	9,449
14,2	0,014	0,004	9,449
14,3	0,014	0,011	9,449
14,4	0,012	-0,004	9,449
14,5	0,011	-0,004	9,449
14,6	0,011	0,011	9,449
14,7	0,014	0,004	9,449
14,8	0,016	-0,012	9,449
14,9	0,016	-0,012	9,449
15,0	0,013	0,004	9,449
15,1	0,010	-0,004	9,449
15,2	0,008	-0,004	9,449
15,3	0,008	0,004	9,449
15,4	0,007	-0,004	9,449
15,5	0,007	-0,004	9,449
15,6	0,007	0,004	9,606
15,7	0,007	0,004	9,449
15,8	0,009	0,004	9,449
15,9	0,011	-0,004	9,449
16,0	0,012	-0,004	9,449
16,1	0,012	-0,012	9,449
16,2	0,010	-0,004	9,449
16,3	0,009	0,004	9,449
16,4	0,008	0,004	9,449
16,5	0,007	-0,004	9,449
16,6	0,008	-0,004	9,606
16,7	0,008	-0,004	9,606
16,8	0,009	-0,004	9,606
16,9	0,010	-0,012	9,606
17,0	0,011	0,004	9,606
17,1	0,011	0,004	9,606
17,2	0,011	0,004	9,606
17,3	0,012	-0,012	9,449
17,4	0,012	-0,004	9,449
17,5	0,012	0,004	9,449
17,6	0,012	0,004	9,449
17,7	0,011	-0,004	9,606
17,8	0,010	-0,012	9,606
17,9	0,010	0,004	9,606
18,0	0,011	-0,004	9,606
18,1	0,013	-0,012	9,606
18,2	0,014	0,004	9,606
18,3	0,013	0,011	9,606
18,4	0,010	-0,004	9,606
18,5	0,008	-0,004	9,606
18,6	0,008	0,004	9,606
18,7	0,009	-0,004	9,606
18,8	0,010	-0,004	9,606
18,9	0,010	0,004	9,606
19,0	0,008	-0,004	9,606
19,1	0,007	-0,004	9,606
19,2	0,006	-0,004	9,606
19,3	0,007	0,004	9,606
19,4	0,007	0,004	9,606
19,5	0,007	-0,004	9,606
19,6	0,007	-0,004	9,606
19,7	0,007	-0,004	9,606
19,8	0,008	0,004	9,606
19,9	0,009	0,004	9,606
20,0	0,010	0,004	9,606
20,1	0,010	-0,004	9,606
20,2	0,009	-0,004	9,606
20,3	0,010	-0,004	9,606
20,4	0,010	-0,004	9,606
20,5	0,010	-0,004	9,606
20,6	0,009	-0,004	9,606
20,7	0,007	0,004	9,606
20,8	0,007	-0,004	9,764
20,9	0,008	-0,004	9,764
21,0	0,009	-0,004	9,764
21,1	0,008	-0,004	9,606
21,2	0,006	0,004	9,606
21,3	0,005	0,004	9,606
21,4	0,009	0,004	9,606
21,5	0,015	0,004	9,606
21,6	0,019	-0,004	9,606
21,7	0,017	-0,012	9,764
21,8	0,009	-0,004	9,764
21,9	0,003	-0,004	9,764
22,0	0,006	0,004	9,764
22,1	0,017	0,004	9,764
22,2	0,027	0,004	9,764
22,3	0,027	-0,004	9,764
22,4	0,025	-0,020	9,764
22,5	0,048	-0,059	9,764
22,6	0,132	-0,028	9,764
22,7	0,298	0,256	9,606
22,8	0,528	0,350	9,764
22,9	0,779	-0,359	9,764
23,0	0,997	-1,012	9,764
23,1	1,147	-0,256	9,764
23,2	1,223	0,996	9,764
23,3	1,231	0,996	9,764
23,4	1,179	-0,374	9,764
23,5	1,068	-1,012	9,764
23,6	0,904	-0,634	9,764
23,7	0,717	0,193	9,764
23,8	0,554	0,468	9,764
23,9	0,458	0,429	9,764
24,0	0,440	0,287	9,764
24,1	0,468	-0,107	9,764
24,2	0,488	-0,461	9,764
24,3	0,459	-0,351	9,764
24,4	0,378	0,043	9,764
24,5	0,278	0,240	9,764
24,6	0,199	0,193	9,764
24,7	0,162	0,090	9,764
24,8	0,161	-0,036	9,764
24,9	0,170	-0,154	9,921
25,0	0,167	-0,138	9,764
25,1	0,145	-0,012	9,764
25,2	0,113	0,090	9,764
25,3	0,084	0,082	9,764
25,4	0,061	0,011	9,764
25,5	0,045	-0,036	9,764
25,6	0,032	-0,028	9,921
25,7	0,021	-0,012	9,921
25,8	0,014	-0,004	9,921
25,9	0,010	-0,004	9,921
26,0	0,010	0,004	9,921
26,1	0,011	0,004	9,921
26,2	0,011	0,004	9,921
26,3	0,010	0,004	9,921
26,4	0,008	0,011	9,921
26,5	0,007	-0,004	9,921
26,6	0,006	-0,004	9,764
26,7	0,006	-0,004	9,921
26,8	0,008	-0,004	9,921
26,9	0,011	-0,004	9,921
27,0	0,017	-0,004	9,921
27,1	0,023	0,019	9,921
27,2	0,028	0,027	9,921
27,3	0,029	0,004	9,921
27,4	0,027	-0,020	9,921
27,5	0,022	-0,020	9,921
27,6	0,017	-0,004	9,921
27,7	0,012	0,011	9,921
27,8	0,008	0,004	9,764
27,9	0,006	0,004	9,921
