time [µs]	Amp[V]	HF [V]	TGC [dB]
18,9	0,141	-0,035	9,606
19,0	0,125	0,083	9,606
19,1	0,112	0,106	9,606
19,2	0,101	0,051	9,606
19,3	0,090	-0,035	9,606
19,4	0,080	-0,083	9,606
19,5	0,072	-0,051	9,606
19,6	0,066	0,020	9,606
19,7	0,059	0,051	9,606
19,8	0,050	0,035	9,606
19,9	0,042	-0,012	9,606
20,0	0,035	-0,035	9,606
20,1	0,032	-0,028	9,606
20,2	0,030	0,004	9,606
20,3	0,027	0,020	9,606
20,4	0,023	0,020	9,606
20,5	0,018	0,004	9,764
20,6	0,014	-0,012	9,764
20,7	0,011	-0,012	9,764
20,8	0,010	-0,004	9,764
20,9	0,008	-0,004	9,606
21,0	0,006	0,004	9,764
21,1	0,005	0,004	9,764
21,2	0,005	0,004	9,606
21,3	0,006	-0,004	9,606
21,4	0,009	-0,004	9,764
21,5	0,011	-0,012	9,606
21,6	0,011	-0,004	9,764
21,7	0,011	0,004	9,764
21,8	0,010	0,012	9,764
21,9	0,009	-0,004	9,764
22,0	0,007	-0,004	9,764
22,1	0,005	-0,004	9,764
22,2	0,003	-0,004	9,764
22,3	0,004	-0,004	9,764
22,4	0,008	0,004	9,764
22,5	0,015	0,012	9,764
22,6	0,023	-0,004	9,764
22,7	0,027	-0,028	9,764
22,8	0,025	-0,012	9,606
22,9	0,019	0,012	9,764
23,0	0,012	0,012	9,764
23,1	0,007	0,004	9,764
23,2	0,009	0,004	9,764
23,3	0,013	-0,004	9,764
23,4	0,018	-0,020	9,764
23,5	0,020	-0,012	9,764
23,6	0,020	0,004	9,764
23,7	0,021	0,020	9,764
23,8	0,025	0,020	9,764
23,9	0,031	-0,004	9,764
24,0	0,037	-0,035	9,764
24,1	0,040	-0,028	9,764
24,2	0,040	0,020	9,764
24,3	0,038	0,035	9,921
24,4	0,036	0,012	9,921
24,5	0,034	-0,028	9,764
24,6	0,030	-0,028	9,921
24,7	0,025	-0,012	9,921
24,8	0,020	0,012	9,921
24,9	0,015	0,012	9,764
25,0	0,013	0,012	9,764
25,1	0,013	-0,004	9,764
25,2	0,013	-0,012	9,764
25,3	0,013	-0,012	9,764
25,4	0,013	0,004	9,764
25,5	0,014	0,012	9,764
25,6	0,019	-0,004	9,921
25,7	0,026	-0,028	9,921
25,8	0,033	-0,012	9,921
25,9	0,039	0,028	9,921
26,0	0,042	0,035	9,921
26,1	0,045	-0,020	9,921
26,2	0,046	-0,043	9,921
26,3	0,045	-0,020	9,921
26,4	0,042	0,028	9,921
26,5	0,036	0,035	9,764
26,6	0,029	0,012	9,764
26,7	0,024	-0,012	9,921
26,8	0,021	-0,020	9,921
26,9	0,022	-0,020	9,921
27,0	0,024	-0,004	9,921
27,1	0,022	0,020	9,921
27,2	0,017	0,012	9,921
27,3	0,010	0,004	9,921
27,4	0,005	-0,004	10,079
27,5	0,003	-0,004	9,921
27,6	0,005	0,004	9,921
27,7	0,010	-0,004	9,921
27,8	0,014	-0,012	9,921
27,9	0,017	-0,012	9,921
28,0	0,019	0,012	9,921
28,1	0,022	0,020	9,921
28,2	0,026	0,012	9,921
28,3	0,029	-0,020	9,921
28,4	0,029	-0,028	9,921
28,5	0,026	0,004	10,079
28,6	0,021	0,020	10,079
28,7	0,017	0,012	9,921
28,8	0,013	-0,004	9,921
28,9	0,012	-0,012	9,921
29,0	0,012	-0,004	9,921
29,1	0,011	0,012	9,921
29,2	0,009	0,004	9,921
29,3	0,007	0,004	9,921
29,4	0,005	-0,004	9,921
29,5	0,004	-0,004	10,079
29,6	0,004	-0,004	10,079
29,7	0,006	-0,004	10,079
29,8	0,010	0,004	10,079
29,9	0,012	0,012	10,079
30,0	0,014	0,004	10,079
30,1	0,012	-0,012	10,079
30,2	0,009	-0,004	10,079
30,3	0,005	0,004	10,079
30,4	0,004	-0,004	10,079
30,5	0,006	-0,004	9,921
30,6	0,013	0,004	10,079
30,7	0,019	0,020	10,079
30,8	0,023	0,004	10,079
30,9	0,024	-0,020	10,079
31,0	0,022	-0,020	10,079
31,1	0,019	-0,004	10,079
31,2	0,016	0,012	10,079
31,3	0,014	0,012	10,079
31,4	0,012	-0,004	10,079
31,5	0,011	-0,012	10,079
31,6	0,010	-0,004	10,079
31,7	0,008	0,004	10,079
31,8	0,006	0,004	10,079
31,9	0,004	-0,004	10,079
32,0	0,003	0,004	10,079
32,1	0,006	0,004	10,236
32,2	0,014	-0,004	10,236
32,3	0,027	-0,028	10,079
32,4	0,043	-0,012	10,236
32,5	0,056	0,043	10,079
32,6	0,066	0,059	10,079
32,7	0,072	-0,012	10,079
32,8	0,075	-0,067	10,079
32,9	0,076	-0,059	10,079
33,0	0,072	0,020	10,079
33,1	0,062	0,059	10,079
33,2	0,046	0,028	10,079
33,3	0,028	-0,020	10,236
33,4	0,015	-0,012	10,236
33,5	0,009	0,004	10,236
33,6	0,012	0,004	10,236
33,7	0,018	-0,020	10,236
33,8	0,021	-0,012	10,236
33,9	0,020	0,012	10,236
34,0	0,016	0,012	10,236
34,1	0,016	-0,012	10,079
34,2	0,019	-0,004	10,079
34,3	0,026	0,028	10,079
34,4	0,031	0,020	10,079
34,5	0,032	-0,012	10,079
34,6	0,029	-0,028	10,236
34,7	0,023	-0,012	10,236
34,8	0,018	0,012	10,236
34,9	0,014	0,012	10,236
35,0	0,013	0,012	10,236
35,1	0,011	-0,004	10,236
35,2	0,008	-0,004	10,236
35,3	0,005	-0,004	10,236
35,4	0,003	-0,004	10,236
35,5	0,004	0,004	10,236
35,6	0,007	-0,004	10,236
35,7	0,012	-0,004	10,236
35,8	0,016	0,012	10,236
35,9	0,019	0,020	10,236
36,0	0,020	0,004	10,236
36,1	0,020	-0,012	10,236
36,2	0,020	-0,020	10,236
36,3	0,018	-0,004	10,394
36,4	0,016	0,012	10,394
36,5	0,012	0,012	10,236
36,6	0,008	0,004	10,236
36,7	0,006	0,004	10,236
36,8	0,006	0,004	10,236
36,9	0,010	-0,004	10,236
37,0	0,015	-0,012	10,236
37,1	0,018	-0,012	10,236
37,2	0,020	0,012	10,236
37,3	0,019	0,020	10,394
37,4	0,016	0,004	10,236
37,5	0,015	-0,004	10,394
37,6	0,013	-0,012	10,394
37,7	0,012	-0,012	10,394
37,8	0,010	0,004	10,394
37,9	0,007	0,004	10,236
38,0	0,005	0,004	10,236
38,1	0,004	0,004	10,236
38,2	0,005	0,004	10,236
38,3	0,006	-0,004	10,236
38,4	0,007	-0,004	10,236
38,5	0,006	-0,004	10,394
38,6	0,005	0,004	10,394
38,7	0,004	0,004	10,394
38,8	0,005	0,004	10,394
38,9	0,006	-0,004	10,394
39,0	0,007	0,004	10,394
39,1	0,006	0,004	10,394
39,2	0,005	-0,004	10,394
39,3	0,004	-0,004	10,394
39,4	0,005	-0,004	10,394
39,5	0,007	-0,004	10,236
39,6	0,009	0,004	10,236
39,7	0,011	0,012	10,394
39,8	0,010	0,004	10,394
39,9	0,008	-0,004	10,394
40,0	0,006	-0,004	10,394
40,1	0,004	-0,004	10,394
40,2	0,003	0,004	10,394
40,3	0,004	-0,004	10,394
40,4	0,007	-0,004	10,394
40,5	0,010	0,004	10,394
40,6	0,012	0,012	10,394
40,7	0,014	0,004	10,394
40,8	0,014	-0,012	10,394
40,9	0,014	-0,012	10,394
41,0	0,014	0,004	10,394
41,1	0,014	0,012	10,394
41,2	0,015	0,012	10,394
41,3	0,014	-0,004	10,551
41,4	0,012	-0,012	10,394
41,5	0,009	-0,004	10,394
41,6	0,006	0,004	10,394
41,7	0,004	-0,004	10,551
41,8	0,004	-0,004	10,394
41,9	0,005	-0,004	10,394
42,0	0,006	-0,004	10,394
42,1	0,006	0,004	10,394
42,2	0,006	0,004	10,394
42,3	0,006	0,004	10,551
42,4	0,005	-0,004	10,551
42,5	0,005	-0,004	10,394
42,6	0,006	0,004	10,551
42,7	0,006	-0,004	10,551
42,8	0,005	-0,004	10,551
42,9	0,005	-0,004	10,551
43,0	0,004	0,004	10,551
43,1	0,005	0,004	10,394
43,2	0,006	0,004	10,551
43,3	0,007	0,004	10,551
43,4	0,007	-0,004	10,394
43,5	0,006	-0,004	10,551
43,6	0,004	0,004	10,551
43,7	0,004	-0,004	10,551
43,8	0,005	0,004	10,551
43,9	0,008	0,004	10,551
44,0	0,010	-0,004	10,551
44,1	0,010	-0,012	10,551
44,2	0,009	-0,004	10,551
44,3	0,006	0,004	10,551
44,4	0,006	0,004	10,551
44,5	0,008	-0,004	10,551
44,6	0,012	-0,012	10,551
44,7	0,013	-0,004	10,551
