time [µs]	Amp[V]	HF [V]	TGC [dB]
0,0	0,304	0,003	0,157
0,1	0,555	0,019	0,315
0,2	0,873	0,980	0,000
0,3	1,182	-0,674	-0,157
0,4	1,400	-1,012	0,630
0,5	1,478	-1,012	0,472
0,6	1,432	0,996	0,315
0,7	1,328	0,996	0,000
0,8	1,247	0,996	-0,157
0,9	1,235	0,996	0,157
1,0	1,291	-1,012	0,315
1,1	1,374	0,877	0,157
1,2	1,437	0,925	0,000
1,3	1,452	-1,012	0,000
1,4	1,410	-1,012	0,157
1,5	1,317	-1,012	0,315
1,6	1,192	0,838	0,157
1,7	1,066	0,996	0,000
1,8	0,983	0,342	0,157
1,9	0,981	-0,312	0,157
2,0	1,062	-1,012	0,157
2,1	1,178	-1,012	0,000
2,2	1,245	0,476	0,157
2,3	1,187	0,996	0,157
2,4	0,987	0,578	0,157
2,5	0,699	-0,556	0,157
2,6	0,421	-0,359	0,157
2,7	0,234	-0,099	0,157
2,8	0,164	-0,099	0,157
2,9	0,174	0,019	0,157
3,0	0,198	0,169	0,000
3,1	0,187	0,169	0,157
3,2	0,136	0,059	0,157
3,3	0,074	-0,012	0,157
3,4	0,036	-0,012	0,157
3,5	0,037	0,027	0,157
3,6	0,062	0,059	0,157
3,7	0,085	0,043	0,157
3,8	0,087	0,011	0,157
3,9	0,070	-0,044	0,157
4,0	0,050	-0,052	0,157
4,1	0,042	0,011	0,157
4,2	0,046	0,043	0,157
4,3	0,054	0,011	0,157
4,4	0,055	-0,028	0,157
4,5	0,047	-0,036	0,157
4,6	0,036	-0,028	0,000
4,7	0,032	-0,020	0,157
4,8	0,038	0,011	0,157
4,9	0,047	0,043	0,157
5,0	0,051	0,027	0,157
5,1	0,045	-0,020	0,157
5,2	0,033	-0,020	0,157
5,3	0,022	-0,012	0,157
5,4	0,020	-0,004	0,157
5,5	0,024	0,011	0,157
5,6	0,028	0,019	0,157
5,7	0,029	-0,004	0,000
5,8	0,026	-0,020	0,000
5,9	0,024	0,011	0,157
6,0	0,025	0,027	0,157
6,1	0,031	0,011	0,000
6,2	0,036	0,003	0,945
6,3	0,038	-0,028	3,307
6,4	0,038	-0,036	5,512
6,5	0,039	-0,012	7,087
6,6	0,044	0,027	7,874
6,7	0,051	0,051	8,346
6,8	0,055	0,027	8,661
6,9	0,052	-0,020	8,819
7,0	0,043	-0,036	8,976
7,1	0,035	-0,028	9,134
7,2	0,033	-0,004	9,134
7,3	0,038	0,035	9,134
7,4	0,044	0,035	9,134
7,5	0,045	0,003	9,134
7,6	0,038	-0,028	9,134
7,7	0,029	-0,028	9,291
7,8	0,021	0,003	9,291
7,9	0,020	0,011	9,291
8,0	0,022	0,011	9,291
8,1	0,023	-0,012	9,134
8,2	0,020	-0,020	9,134
8,3	0,016	-0,004	9,134
8,4	0,014	0,011	9,134
8,5	0,015	0,003	9,134
8,6	0,016	0,011	9,291
8,7	0,017	0,003	9,134
8,8	0,015	-0,004	9,291
8,9	0,013	0,003	9,291
9,0	0,016	0,003	9,291
9,1	0,022	-0,004	9,291
9,2	0,029	-0,020	9,291
9,3	0,033	-0,036	9,291
9,4	0,033	-0,012	9,291
9,5	0,029	0,011	9,291
9,6	0,027	0,027	9,291
9,7	0,027	0,019	9,291
9,8	0,029	0,003	9,291
9,9	0,029	-0,020	9,291
10,0	0,028	-0,020	9,291
10,1	0,025	-0,020	9,291
10,2	0,025	-0,012	9,291
10,3	0,029	0,019	9,291
10,4	0,035	0,035	9,291
10,5	0,041	0,019	9,291
10,6	0,044	-0,012	9,291
10,7	0,044	-0,036	9,291
10,8	0,043	-0,044	9,291
10,9	0,042	-0,020	9,291
11,0	0,041	0,019	9,291
11,1	0,039	0,035	9,291
11,2	0,035	0,027	9,291
11,3	0,030	0,003	9,449
11,4	0,026	-0,012	9,449
