time [µs]	Amp[V]	HF [V]	TGC [dB]
0,0	0,305	0,004	0,157
0,1	0,556	0,020	0,315
0,2	0,874	0,980	0,000
0,3	1,182	-0,673	-0,157
0,4	1,399	-1,012	0,630
0,5	1,477	-1,012	0,472
0,6	1,432	0,996	0,315
0,7	1,329	0,996	0,000
0,8	1,248	0,996	-0,157
0,9	1,235	0,996	0,157
1,0	1,289	-1,012	0,472
1,1	1,369	0,870	0,315
1,2	1,431	0,917	0,000
1,3	1,447	-1,012	0,000
1,4	1,408	-1,012	0,157
1,5	1,319	-1,012	0,157
1,6	1,196	0,847	0,157
1,7	1,070	0,996	0,157
1,8	0,985	0,343	0,157
1,9	0,980	-0,311	0,157
2,0	1,060	-1,012	0,157
2,1	1,177	-1,012	0,157
2,2	1,245	0,476	0,157
2,3	1,188	0,996	0,000
2,4	0,988	0,579	0,157
2,5	0,699	-0,555	0,157
2,6	0,418	-0,358	0,157
2,7	0,231	-0,098	0,157
2,8	0,163	-0,098	0,157
2,9	0,174	0,012	0,157
3,0	0,199	0,169	0,157
3,1	0,187	0,169	0,000
3,2	0,134	0,059	0,157
3,3	0,072	-0,012	0,157
3,4	0,036	-0,004	0,157
3,5	0,039	0,028	0,157
3,6	0,066	0,059	0,157
3,7	0,088	0,043	0,157
3,8	0,088	0,004	0,157
3,9	0,068	-0,043	0,157
4,0	0,047	-0,051	0,157
4,1	0,038	0,004	0,157
4,2	0,044	0,043	0,157
4,3	0,053	0,012	0,157
4,4	0,053	-0,028	0,157
4,5	0,045	-0,035	0,157
4,6	0,035	-0,020	0,157
4,7	0,032	-0,020	0,157
4,8	0,038	0,012	0,157
4,9	0,047	0,043	0,157
5,0	0,050	0,020	0,157
5,1	0,043	-0,020	0,157
5,2	0,032	-0,020	0,157
5,3	0,023	-0,012	0,157
5,4	0,020	-0,004	0,157
5,5	0,023	0,012	0,157
5,6	0,025	0,012	0,157
5,7	0,024	-0,004	0,000
5,8	0,021	-0,012	0,157
5,9	0,020	0,012	0,157
6,0	0,024	0,020	0,157
6,1	0,030	0,012	0,000
6,2	0,035	-0,004	0,787
6,3	0,036	-0,028	3,307
6,4	0,036	-0,035	5,512
6,5	0,038	-0,012	7,087
6,6	0,045	0,028	7,874
6,7	0,052	0,051	8,346
6,8	0,056	0,028	8,661
6,9	0,051	-0,020	8,819
7,0	0,042	-0,035	8,976
7,1	0,034	-0,028	8,976
7,2	0,033	-0,004	9,134
7,3	0,038	0,035	9,134
7,4	0,045	0,035	9,134
7,5	0,046	0,004	9,134
7,6	0,040	-0,028	9,134
7,7	0,030	-0,028	9,291
7,8	0,022	0,004	9,291
7,9	0,018	0,012	9,291
8,0	0,019	0,004	9,291
8,1	0,021	-0,012	9,291
8,2	0,022	-0,020	9,291
8,3	0,020	-0,012	9,134
8,4	0,019	0,012	9,134
8,5	0,017	0,012	9,134
8,6	0,015	0,004	9,291
8,7	0,013	0,004	9,291
8,8	0,011	-0,004	9,291
8,9	0,011	-0,004	9,291
9,0	0,015	0,004	9,291
9,1	0,022	-0,004	9,291
9,2	0,029	-0,020	9,291
9,3	0,032	-0,035	9,291
9,4	0,032	-0,012	9,291
9,5	0,030	0,012	9,134
9,6	0,028	0,028	9,134
9,7	0,029	0,020	9,291
9,8	0,029	-0,004	9,291
9,9	0,028	-0,020	9,291
10,0	0,025	-0,020	9,291
10,1	0,022	-0,020	9,291
10,2	0,022	-0,012	9,291
10,3	0,026	0,012	9,291
10,4	0,033	0,035	9,291
10,5	0,040	0,020	9,291
10,6	0,043	-0,004	9,291
10,7	0,044	-0,035	9,291
10,8	0,043	-0,043	9,291
10,9	0,042	-0,020	9,291
11,0	0,041	0,020	9,291
11,1	0,039	0,035	9,291
11,2	0,036	0,028	9,291
11,3	0,031	-0,004	9,449
11,4	0,026	-0,012	9,449
11,5	0,023	-0,020	9,291
11,6	0,021	-0,020	9,449
11,7	0,020	-0,012	9,291
11,8	0,016	0,004	9,291
11,9	0,012	0,012	9,291
12,0	0,009	0,004	9,291
12,1	0,009	0,004	9,291
12,2	0,012	0,004	9,291
12,3	0,015	-0,004	9,291
12,4	0,016	-0,012	9,291
12,5	0,014	-0,012	9,449
12,6	0,013	-0,012	9,449
12,7	0,015	0,004	9,449
12,8	0,020	0,020	9,449
12,9	0,025	0,012	9,449
13,0	0,028	-0,004	9,449
13,1	0,026	-0,028	9,449
13,2	0,023	-0,020	9,449
13,3	0,022	-0,004	9,449
13,4	0,024	0,020	9,291
13,5	0,027	0,020	9,291
13,6	0,027	0,012	9,449
13,7	0,023	-0,020	9,449
13,8	0,017	-0,012	9,449
13,9	0,012	-0,004	9,449
14,0	0,011	-0,004	9,449
14,1	0,013	-0,012	9,449
14,2	0,013	0,004	9,449
14,3	0,012	0,012	9,449
14,4	0,011	-0,004	9,449
14,5	0,014	-0,004	9,449
14,6	0,020	0,012	9,449
14,7	0,027	0,004	9,449
14,8	0,028	-0,035	9,449
14,9	0,023	-0,012	9,606
15,0	0,014	-0,004	9,606
15,1	0,006	-0,004	9,449
15,2	0,002	-0,004	9,449
15,3	0,003	0,004	9,449
15,4	0,005	-0,004	9,449
15,5	0,006	-0,004	9,449
15,6	0,007	0,004	9,449
15,7	0,008	0,004	9,606
15,8	0,011	0,004	9,449
15,9	0,014	-0,012	9,449
16,0	0,015	-0,012	9,449
16,1	0,014	-0,012	9,449
16,2	0,011	-0,004	9,449
16,3	0,009	0,004	9,449
16,4	0,009	0,012	9,449
16,5	0,011	-0,004	9,606
16,6	0,012	-0,004	9,606
16,7	0,012	-0,004	9,606
16,8	0,011	-0,012	9,606
16,9	0,010	-0,012	9,606
17,0	0,009	-0,004	9,606
17,1	0,009	-0,004	9,449
17,2	0,008	0,004	9,449
