time [µs]	Amp[V]	HF [V]	TGC [dB]
0,0	0,293	0,005	0,157
0,1	0,557	0,021	0,315
0,2	0,878	0,981	-0,157
0,3	1,178	-0,672	-0,157
0,4	1,385	-1,011	0,630
0,5	1,465	-1,011	0,472
0,6	1,437	0,997	0,315
0,7	1,354	0,997	0,000
0,8	1,271	0,997	-0,157
0,9	1,227	0,997	0,157
1,0	1,229	-1,011	0,315
1,1	1,264	0,572	0,157
1,2	1,312	0,997	0,000
1,3	1,348	-0,877	0,000
1,4	1,346	-1,011	0,157
1,5	1,288	-1,011	0,315
1,6	1,173	0,698	0,157
1,7	1,031	0,997	0,000
1,8	0,918	0,328	0,157
1,9	0,893	0,273	0,157
2,0	0,980	-0,995	0,157
2,1	1,142	-1,011	0,157
2,2	1,284	-0,286	0,157
2,3	1,304	0,997	0,157
2,4	1,152	0,997	0,157
2,5	0,863	-0,255	0,157
2,6	0,546	-0,554	0,157
2,7	0,319	-0,176	0,157
2,8	0,244	-0,208	0,157
2,9	0,294	-0,310	0,000
3,0	0,378	0,029	0,157
3,1	0,404	0,344	0,000
3,2	0,337	0,225	0,000
3,3	0,210	-0,097	0,157
3,4	0,088	-0,074	0,157
3,5	0,022	0,052	0,157
3,6	0,020	0,013	0,157
3,7	0,053	-0,011	0,157
3,8	0,088	0,076	0,157
3,9	0,105	0,029	0,157
4,0	0,107	-0,105	0,157
4,1	0,103	-0,066	0,157
4,2	0,095	0,060	0,157
4,3	0,080	0,052	0,157
4,4	0,057	-0,042	0,157
4,5	0,034	-0,034	0,000
4,6	0,023	0,005	0,000
4,7	0,031	-0,034	0,157
4,8	0,050	-0,034	0,157
4,9	0,067	0,036	0,000
5,0	0,068	0,060	0,157
5,1	0,052	-0,011	0,157
5,2	0,029	-0,027	0,157
5,3	0,012	-0,011	0,157
5,4	0,008	-0,003	0,157
5,5	0,012	-0,003	0,000
5,6	0,016	0,013	0,157
5,7	0,016	0,005	0,000
5,8	0,015	-0,011	0,000
5,9	0,017	0,005	0,157
6,0	0,025	0,029	0,157
6,1	0,034	0,021	0,000
6,2	0,036	-0,003	1,102
6,3	0,031	-0,027	3,622
6,4	0,022	-0,019	5,669
6,5	0,020	-0,003	7,087
6,6	0,028	0,021	7,874
6,7	0,041	0,036	8,346
6,8	0,049	0,036	8,661
6,9	0,044	-0,003	8,819
7,0	0,030	-0,019	8,976
7,1	0,017	-0,019	9,134
7,2	0,013	-0,011	9,134
7,3	0,018	0,005	9,134
7,4	0,024	0,021	9,134
7,5	0,023	0,013	9,291
7,6	0,017	-0,003	9,291
7,7	0,012	-0,011	9,291
7,8	0,014	0,005	9,291
7,9	0,021	-0,003	9,291
8,0	0,024	-0,003	9,291
8,1	0,020	-0,019	9,134
8,2	0,012	-0,019	9,134
8,3	0,011	0,005	9,134
8,4	0,017	0,013	9,134
8,5	0,025	-0,003	9,134
8,6	0,023	-0,003	9,291
8,7	0,010	0,013	9,291
8,8	0,002	0,013	9,291
8,9	0,009	0,005	9,291
9,0	0,034	0,005	9,291
9,1	0,054	-0,003	9,291
9,2	0,050	-0,027	9,291
9,3	0,025	-0,042	9,291
9,4	0,007	-0,011	9,291
9,5	0,019	0,021	9,291
9,6	0,055	0,029	9,134
9,7	0,075	0,021	9,134
9,8	0,047	-0,003	9,134
9,9	0,007	-0,019	9,291
10,0	0,014	-0,019	9,291
10,1	0,100	-0,121	9,291
10,2	0,344	-0,066	9,291
10,3	0,637	0,477	9,291
10,4	0,875	0,580	9,291
10,5	1,005	-0,735	9,291
10,6	1,065	-1,011	9,449
10,7	1,136	0,123	9,291
10,8	1,247	0,997	9,134
10,9	1,331	0,895	9,291
11,0	1,274	-0,948	9,291
11,1	1,027	-0,956	9,449
11,2	0,670	-0,034	9,291
11,3	0,372	0,099	9,291
11,4	0,272	0,029	9,449
11,5	0,377	0,430	9,291
11,6	0,564	0,509	9,291
11,7	0,673	-0,129	9,449
11,8	0,623	-0,538	9,449
11,9	0,449	-0,255	9,291
12,0	0,258	0,131	9,291
12,1	0,135	0,178	9,291
12,2	0,098	0,084	9,291
12,3	0,109	0,060	9,291
12,4	0,125	0,044	9,291
12,5	0,128	-0,066	9,291
12,6	0,128	-0,145	9,449
12,7	0,132	-0,089	9,449
12,8	0,138	0,052	9,449
12,9	0,131	0,115	9,449
13,0	0,108	0,060	9,449
13,1	0,078	-0,019	9,449
13,2	0,058	-0,066	9,449
13,3	0,054	-0,058	9,291
13,4	0,060	-0,011	9,449
13,5	0,064	0,029	9,449
13,6	0,058	0,052	9,449
13,7	0,046	0,021	9,449
13,8	0,035	-0,027	9,449
13,9	0,028	-0,034	9,449
14,0	0,023	-0,003	9,449
14,1	0,017	-0,003	9,449
14,2	0,010	-0,003	9,449
14,3	0,004	0,005	9,449
14,4	0,003	0,005	9,449
14,5	0,007	0,005	9,449
14,6	0,014	0,013	9,449
14,7	0,019	0,005	9,449
14,8	0,019	-0,011	9,449
14,9	0,016	-0,019	9,449
15,0	0,011	-0,003	9,449
15,1	0,008	0,005	9,449
15,2	0,008	0,005	9,449
15,3	0,011	0,005	9,449
15,4	0,015	-0,011	9,449
15,5	0,019	-0,019	9,449
15,6	0,022	0,005	9,449
15,7	0,024	0,021	9,449
15,8	0,026	0,021	9,449
15,9	0,029	-0,003	9,449
16,0	0,030	-0,027	9,449
16,1	0,029	-0,027	9,449
16,2	0,025	-0,003	9,449
16,3	0,018	0,013	9,449
16,4	0,011	0,013	9,449
16,5	0,008	0,005	9,449
16,6	0,011	0,005	9,606
16,7	0,017	0,005	9,606
16,8	0,026	-0,019	9,449
16,9	0,033	-0,034	9,606
17,0	0,036	-0,011	9,606
17,1	0,035	0,021	9,606
17,2	0,031	0,029	9,606
17,3	0,024	0,005	9,449
17,4	0,017	-0,019	9,606
17,5	0,012	-0,011	9,449
17,6	0,011	-0,003	9,449
17,7	0,011	-0,011	9,606
17,8	0,012	-0,003	9,606
17,9	0,011	0,013	9,606
18,0	0,009	0,005	9,606
18,1	0,007	-0,003	9,606
18,2	0,008	0,005	9,606
18,3	0,012	-0,003	9,606
18,4	0,017	-0,019	9,606
18,5	0,020	-0,011	9,606
18,6	0,019	0,013	9,606
18,7	0,016	0,013	9,606
18,8	0,014	0,005	9,606
18,9	0,015	-0,003	9,449
19,0	0,017	-0,019	9,606
19,1	0,020	-0,019	9,606
19,2	0,022	-0,011	9,606
19,3	0,022	0,005	9,606
19,4	0,021	0,021	9,606
19,5	0,019	0,013	9,764
19,6	0,019	-0,003	9,606
19,7	0,020	-0,019	9,606
19,8	0,023	-0,019	9,606
19,9	0,030	-0,027	9,606
20,0	0,039	-0,011	9,606
20,1	0,049	0,036	9,606
20,2	0,057	0,052	9,606
20,3	0,060	0,005	9,606
20,4	0,058	-0,050	9,764
20,5	0,050	-0,042	9,606
20,6	0,038	-0,003	9,606
20,7	0,025	0,021	9,764
20,8	0,016	0,013	9,764
20,9	0,014	-0,011	9,764
21,0	0,022	0,005	9,764
21,1	0,037	0,036	9,606
21,2	0,055	0,029	9,606
21,3	0,068	-0,050	9,606
21,4	0,071	-0,058	9,606
21,5	0,061	0,013	9,606
21,6	0,042	0,044	9,606
21,7	0,023	0,013	9,764
21,8	0,011	-0,003	9,764
21,9	0,009	0,005	9,764
22,0	0,016	-0,003	9,764
22,1	0,026	-0,027	9,606
22,2	0,033	-0,011	9,764
22,3	0,036	0,029	9,764
22,4	0,034	0,029	9,764
22,5	0,029	-0,003	9,764
22,6	0,024	-0,019	9,764
22,7	0,018	-0,019	9,606
22,8	0,013	-0,003	9,764
22,9	0,008	0,005	9,764
23,0	0,006	0,005	9,764
23,1	0,006	0,005	9,764
23,2	0,008	-0,003	9,764
23,3	0,010	-0,003	9,764
23,4	0,011	-0,011	9,764
23,5	0,010	-0,011	9,764
23,6	0,009	0,005	9,764
23,7	0,010	0,005	9,764
23,8	0,013	-0,003	9,764
23,9	0,018	-0,019	9,764
24,0	0,022	-0,019	9,764
24,1	0,024	0,005	9,764
24,2	0,023	0,021	9,764
24,3	0,021	0,005	9,764
24,4	0,020	-0,019	9,921
24,5	0,020	-0,019	9,764
24,6	0,019	-0,003	9,921
24,7	0,016	0,005	9,764
24,8	0,011	0,013	9,764
24,9	0,007	0,005	9,764
25,0	0,005	0,005	9,764
25,1	0,007	-0,003	9,764
25,2	0,010	-0,003	9,764
25,3	0,012	-0,011	9,764
25,4	0,012	-0,011	9,764
25,5	0,010	0,005	9,921
25,6	0,008	0,005	9,921
25,7	0,008	-0,003	9,921
25,8	0,009	-0,011	9,921
25,9	0,010	-0,003	9,921
26,0	0,009	0,005	9,921
26,1	0,007	0,005	9,921
26,2	0,005	-0,003	9,764
26,3	0,004	0,005	9,921
26,4	0,007	0,005	9,921
26,5	0,010	0,005	9,764
26,6	0,012	-0,011	9,764
26,7	0,013	-0,011	9,921
26,8	0,011	-0,003	9,921
26,9	0,008	0,005	9,921
27,0	0,006	0,005	9,921
27,1	0,004	-0,003	9,921
27,2	0,003	-0,003	9,921
27,3	0,003	-0,003	9,921
27,4	0,004	-0,003	9,921
27,5	0,007	-0,003	9,921
27,6	0,011	-0,003	9,921
27,7	0,014	0,013	9,921
27,8	0,015	0,013	9,921
27,9	0,014	-0,003	9,921
28,0	0,011	-0,011	9,921
28,1	0,008	-0,003	9,921
28,2	0,007	0,005	10,079
28,3	0,006	0,005	9,921
28,4	0,005	-0,003	9,921
28,5	0,005	-0,003	10,079
28,6	0,006	0,005	10,079
28,7	0,007	0,005	9,921
28,8	0,009	-0,003	10,079
28,9	0,010	-0,011	9,921
29,0	0,010	-0,003	9,921
29,1	0,008	0,005	9,921
29,2	0,005	0,005	9,921
29,3	0,004	-0,003	9,921
29,4	0,005	0,005	10,079
29,5	0,007	0,005	10,079
29,6	0,009	-0,003	10,079
29,7	0,010	-0,011	10,079
29,8	0,009	-0,003	10,079
29,9	0,007	0,005	10,079
30,0	0,006	-0,003	10,079
30,1	0,005	-0,003	9,921
30,2	0,006	0,005	10,079
30,3	0,006	0,005	10,079
30,4	0,006	0,005	10,079
30,5	0,005	-0,003	9,921
30,6	0,005	-0,003	10,079
30,7	0,004	-0,003	10,079
30,8	0,004	0,005	10,079
30,9	0,006	0,005	10,079
31,0	0,009	0,005	10,079
31,1	0,011	-0,003	10,079
31,2	0,012	-0,011	10,079
31,3	0,011	-0,011	10,079
31,4	0,009	0,005	10,079
31,5	0,010	0,005	10,079
31,6	0,015	-0,011	10,079
31,7	0,024	-0,019	9,921
31,8	0,033	0,021	10,079
31,9	0,040	0,036	10,079
32,0	0,041	0,005	10,079
32,1	0,038	-0,034	10,079
32,2	0,033	-0,027	10,079
32,3	0,027	0,005	10,079
32,4	0,023	0,021	10,236
32,5	0,018	0,013	10,079
